ROWNUM;ADDRESS;NAME;DISTRICT;AREA;CHIEFNAME;CHIEFPOSIT;PHONE;FAX;WEBSITE;EMAIL;WRKHOURS;CLARIFICATIONOFWRKHOURS;NUM_ROOMS;TOT_SEAT;X;Y;GLOBALID;LAT;LON
1;Иллюзион;Котельническая наб., д.1/15;Центральный административный округ;Таганский район;;;(495) 915 43 39, 915 43 53;;;;;;;;37,642816;55,747073;85988577;55.747073;37.642816
2;Пионер;Кутузовский пр-т, д.21;Западный административный округ;район Дорогомилово;;;(499) 240 52 40;;pioner-cinema.ru;info@pioner-cinema.ru;;;;;37,549916;55,74499;85988578;55.74499;37.549916
3;Формула Кино Сити;Пресненская наб., д.2;Центральный административный округ;Пресненский район;;;(495) 795 37 95;;formulakino.ru;info@formulakino.ru;;;;;37,539471;55,749045;85988579;55.749045;37.539471
4;Синема Парк на Южной;Днепропетровская, д.2;Южный административный округ;район Чертаново Северное;;;(495) 644 41 11;;cinemapark.ru;info@cinemapark.ru;;;;;37,603872;55,623036;85988580;55.623036;37.603872
5;Кинозал ГУМа;Красная пл., д.3;Центральный административный округ;Тверской район;;;(495) 788 43 43, 620 30 62;;gum.ruprojects/kinozal;INFO@GUM.RU;;;;;37,621449;55,7547;85988581;55.7547;37.621449
6;Мир искусства;Долгоруковская, д.33, стр. 3;Центральный административный округ;Тверской район;;;(499) 978 66 19, 978 69 89;;chronotop.ru;;;;;;37,600742;55,777478;85988582;55.777478;37.600742
7;Кино на Алтуфьевском;Алтуфьевское ш., д.8;Северо-Восточный административный округ;район Отрадное;;;(495) 287 32 17, 287 32 18;;kino-a8.ru;;;;;;37,585745;55,852814;85988583;55.852814;37.585745
8;Кинозал Домжур;Никитский б-р, д.8а;Центральный административный округ;Пресненский район;;;(495) 691 56 98, 222 10 60;;arbatkino.ru, domjour.livejournal.com;;;;;;37,601569;55,753899;85988584;55.753899;37.601569
9;Kinostar De Lux Теплый Стан;41-й км МКАД, ТРК «Мега»;Юго-Западный административный округ;район Тёплый Стан;;;(495) 775 44 77, 775 44 99;;cinemapark.ru;feedback@cinemapark.ru.;;;;;37,491339;55,603772;85988585;55.603772;37.491339
10;35ММ;ул. Покровка, д.47;Центральный административный округ;Басманный район;;;(495) 780 91 45;;kino35mm.ru;info@coolconnections.ru;;;;;37,654062;55,763642;85988586;55.763642;37.654062
11;Музей кино в ЦДХ;ул. Крымский Вал, д.10;Центральный административный округ;район Якиманка;;;(499) 238 96 34;;museikino.ru;pr_museikino@mail.ru;;;;;37,605769;55,735022;85988587;55.735022;37.605769
12;Кронверк Синема Облака;Ореховый б-р, д.22а;Южный административный округ;район Зябликово;;;(495) 775 68 35;;kronverkcinema.ru;info@kronverkcinema.ru;;;;;37,732689;55,612052;85988588;55.612052;37.732689
13;Формула Кино Чертаново;ул. Северное Чертаново, д.1а;Южный административный округ;район Чертаново Северное;;;(495) 795 37 95;;formulakino.ru;info@formulakino.ru;;;;;37,598935;55,636979;85988589;55.636979;37.598935
14;Синема Парк Старлайт на Багратионовской;Багратионовский пр-д, д.5;Западный административный округ;район Филёвский Парк;;;(495) 644 41 11;;cinemapark.rumultiplexes/show/14;info@cinemapark.ru;;;;;37,508108;55,743719;85988590;55.743719;37.508108
15;Кинематограф (Зеленоград);Зеленоград, Панфиловский пр-т, д.159;Зеленоградский административный округ;район Силино;;;(915) 315 34 99;;zelkino.ru;;;;;;37,202932;56,009144;85988591;56.009144;37.202932
